# x1 y1 x2 y2
508.15 109.98 578.38 110.81
508.15 109.98 507.73 131.21
578.58 390.39 458.54 387.49
578.58 390.39 578.20 358.22
578.58 390.39 578.38 458.61
578.58 390.39 478.83 388.75
578.58 390.39 508.73 388.74
472.94 131.93 472.15 112.45
578.38 110.81 578.22 168.41
578.38 110.81 578.77 96.86
578.38 110.81 580.54 101.72
578.38 110.81 580.38 96.93
585.54 61.05 586.32 55.65
369.03 481.61 342.85 482.19
369.03 481.61 362.04 479.57
472.15 112.45 400.79 112.44
131.12 312.71 130.70 428.53
131.12 312.71 130.15 242.79
135.61 312.68 160.60 312.50
125.63 312.88 43.85 315.50
37.87 315.69 26.40 316.06
131.12 312.71 131.78 242.05
125.64 312.81 40.49 314.44
180.53 115.06 180.59 33.84
433.59 75.12 488.15 74.47
433.59 75.12 503.87 74.27
400.26 386.09 400.28 356.96
400.26 386.09 399.90 428.87
308.79 387.51 227.31 388.77
400.26 386.09 400.00 296.97
396.92 386.71 380.21 389.81
441.53 387.48 478.83 388.75
458.47 387.51 508.73 388.74
578.54 232.99 578.12 215.92
578.54 232.99 578.45 249.29
578.54 232.99 578.93 249.06
578.54 232.99 580.50 224.99
578.54 232.99 537.84 232.51
578.54 232.99 557.12 234.52
534.20 236.17 526.73 236.70
260.02 221.39 298.13 221.33
530.40 483.24 530.41 452.89
530.40 483.24 546.58 483.66
530.40 483.24 547.72 483.98
530.40 483.24 547.72 483.29
586.34 483.41 591.33 483.43
130.70 428.53 399.90 428.87
130.70 428.53 369.51 427.99
130.70 428.53 240.60 428.02
130.70 428.53 230.54 428.00
577.81 537.18 578.05 506.60
578.20 358.22 507.86 358.11
578.20 358.22 578.20 295.88
578.20 358.22 506.26 358.14
578.20 358.22 583.47 359.33
595.94 361.96 600.73 362.97
603.61 363.58 608.88 364.69
526.92 194.02 545.32 193.83
526.92 194.02 547.78 194.88
507.86 358.11 507.91 336.27
454.19 193.42 433.37 193.89
454.19 193.42 433.37 195.08
578.22 168.41 578.77 96.86
472.04 336.28 472.03 358.11
400.37 169.22 400.79 112.44
400.37 169.22 399.74 97.22
394.43 187.65 390.95 198.44
433.25 273.27 453.70 272.98
433.25 273.27 455.20 273.27
180.59 33.84 369.10 34.94
180.59 33.84 178.52 81.14
400.28 356.96 399.90 428.87
400.28 356.96 472.03 358.11
400.28 356.96 400.00 296.97
342.84 452.81 342.85 482.19
342.84 452.81 395.54 451.10
342.84 452.81 389.45 452.42
281.65 458.01 275.19 458.56
342.84 452.81 342.94 474.00
401.05 536.07 400.94 506.59
401.05 536.07 403.48 516.84
96.97 220.66 55.66 222.52
37.74 223.33 28.28 223.75
96.97 220.66 40.83 220.77
525.10 273.05 545.32 273.06
453.70 272.98 433.44 275.22
530.41 452.89 405.45 451.04
530.41 452.89 429.31 453.08
399.90 428.87 399.97 450.95
399.90 428.87 369.51 427.99
399.90 428.87 240.60 428.02
399.90 428.87 230.54 428.00
400.79 112.44 399.74 97.22
400.79 112.44 398.53 101.56
181.37 192.16 179.93 162.95
181.37 192.16 130.29 192.16
181.37 192.16 227.31 192.30
181.37 192.16 179.44 178.94
181.37 192.16 178.45 165.15
578.27 33.86 578.81 48.14
578.27 33.86 581.12 41.58
578.27 33.86 494.24 33.86
578.27 33.86 473.95 33.86
227.08 312.03 227.31 388.77
241.39 312.51 298.13 314.44
227.08 312.03 227.05 242.13
227.31 388.77 380.21 389.81
342.85 482.19 328.46 483.49
309.61 485.19 300.18 486.04
342.85 482.19 314.53 481.91
342.85 482.19 334.52 480.52
342.85 482.19 342.94 474.00
525.44 273.29 545.32 273.06
400.80 50.30 401.17 33.82
130.29 192.16 130.45 196.29
130.29 192.16 131.49 196.29
298.13 314.44 298.13 221.33
545.32 75.12 488.15 74.47
545.32 75.12 503.87 74.27
400.05 232.22 399.25 215.72
400.05 232.22 399.08 248.44
400.05 232.22 437.38 233.48
442.36 233.65 448.83 233.87
400.05 232.22 398.62 226.91
400.05 232.22 398.50 242.22
393.97 271.46 392.91 278.27
400.15 50.06 401.17 33.82
251.92 447.53 260.05 467.25
401.17 33.82 369.10 34.94
401.17 33.82 398.60 50.38
395.54 70.07 394.24 78.50
401.17 33.82 494.24 33.86
401.17 33.82 473.95 33.86
477.19 46.26 484.79 65.82
477.19 46.26 485.66 65.52
405.35 451.34 429.31 453.08
399.97 450.95 401.55 458.06
406.59 480.73 407.52 484.90
395.67 451.55 389.45 452.42
363.77 76.64 362.75 56.77
613.76 487.21 618.18 487.47
587.76 485.69 588.14 465.55
586.39 77.04 586.32 55.65
213.66 140.63 247.93 141.50
257.86 141.76 265.31 141.94
213.66 140.63 255.20 139.77
488.15 74.47 503.87 74.27
11.64 279.61 19.92 298.97
11.64 279.61 17.03 279.58
503.52 70.90 503.02 66.08
502.82 64.16 502.18 57.90
271.87 470.12 280.67 471.29
399.25 215.72 399.05 248.45
369.10 34.94 494.24 33.86
9.95 186.45 19.67 206.40
9.95 186.45 17.37 186.07
23.31 185.78 27.76 185.55
264.17 139.77 261.89 135.44
260.52 132.83 250.04 112.88
262.09 141.25 255.20 139.77
264.28 139.78 262.23 135.45
26.40 316.06 24.52 311.11
26.40 316.06 40.49 314.44
142.49 139.91 142.83 128.97
167.40 152.81 172.34 153.49
28.28 223.75 26.29 219.75
28.28 223.75 40.83 220.77
20.05 206.38 27.76 185.55
35.07 204.92 53.19 202.63
485.66 65.52 493.31 46.00
612.74 199.21 618.20 199.78
448.83 233.87 454.49 231.01
461.44 227.50 470.57 222.88
250.05 112.88 260.79 132.42
373.62 419.27 382.60 401.82
407.52 484.90 407.62 465.88
537.84 232.51 569.33 232.55
