# x1 y1 x2 y2
617.34 307.61 617.35 324.92
617.34 307.61 434.46 307.79
617.34 307.61 617.11 284.83
617.34 307.61 778.13 307.52
617.34 307.61 620.42 321.61
617.34 307.61 616.52 275.77
617.34 307.61 521.36 306.68
617.34 307.61 709.58 306.67
204.15 307.72 363.30 307.68
204.15 307.72 203.70 324.13
204.15 307.72 203.11 284.83
204.15 307.72 33.36 307.67
204.15 307.72 133.67 309.49
25.72 312.20 17.22 312.42
204.15 307.72 117.95 304.51
26.28 301.10 17.81 300.78
204.15 307.72 203.64 275.76
204.15 307.72 300.63 306.69
204.15 307.72 112.78 306.66
296.03 193.16 295.12 211.05
296.03 193.16 432.84 192.77
296.03 193.16 112.29 192.71
296.03 193.16 295.37 171.00
296.03 193.16 297.62 188.96
296.03 193.16 295.42 158.53
296.03 193.16 436.43 192.94
296.03 193.16 254.98 192.60
296.03 193.16 235.92 192.86
296.03 193.16 158.10 193.12
363.30 307.68 363.14 238.82
363.30 307.68 300.63 306.69
708.57 81.09 708.37 54.89
112.38 81.04 111.98 52.32
295.12 211.05 295.37 171.00
295.89 80.93 296.42 55.75
617.35 324.92 617.11 284.83
111.85 266.32 112.63 284.84
203.75 381.24 203.93 400.90
708.88 210.09 709.61 171.91
708.88 210.09 709.65 158.37
203.70 324.13 203.11 284.83
203.70 324.13 203.64 275.76
294.91 284.84 295.03 267.41
294.91 284.84 203.11 284.83
525.24 80.88 525.23 55.75
111.76 124.02 113.22 168.76
111.76 124.02 112.29 192.71
432.84 192.77 434.46 307.79
432.84 192.77 254.98 192.60
432.84 192.77 434.46 241.74
518.02 170.69 526.44 170.80
456.16 169.86 295.37 171.00
456.16 169.86 456.83 239.28
456.16 169.86 304.90 169.84
456.16 169.86 456.91 192.90
525.23 266.33 525.26 284.83
708.25 284.85 708.40 267.42
708.25 284.85 617.11 284.83
617.25 400.82 616.99 382.41
708.40 124.55 709.61 171.91
708.40 124.55 709.65 158.37
750.56 15.16 753.86 39.36
750.56 15.16 754.51 17.13
763.30 21.53 767.69 23.73
296.27 81.87 296.42 55.75
296.02 124.28 295.37 171.00
296.02 124.28 298.57 137.36
296.02 124.28 295.42 158.53
261.40 168.08 260.39 161.67
259.15 153.78 257.67 144.42
287.12 170.29 295.37 171.00
287.60 169.14 304.90 169.84
261.40 168.08 266.53 159.16
268.00 156.62 275.08 144.31
753.86 39.36 769.96 15.26
112.63 284.84 203.11 284.83
525.26 284.83 617.11 284.83
434.46 307.79 521.36 306.68
434.46 307.79 434.46 241.74
525.23 81.81 525.23 55.75
525.23 124.35 526.44 170.80
525.23 124.35 525.27 161.21
617.11 284.83 622.68 278.54
617.11 284.83 610.44 279.80
617.11 284.83 616.52 275.77
525.24 209.07 526.44 170.80
525.24 209.07 525.27 161.21
112.24 209.36 112.29 192.71
632.38 349.46 635.47 342.84
363.14 238.82 344.05 238.66
363.14 238.82 343.94 238.75
203.11 284.83 209.93 278.39
203.11 284.83 197.08 280.52
778.13 307.52 778.13 238.97
778.13 307.52 709.58 306.67
526.44 170.80 533.84 171.79
526.44 170.80 533.84 171.47
540.76 172.09 545.70 172.54
565.45 174.31 573.85 175.07
526.44 170.80 560.15 169.83
526.44 170.80 525.27 161.21
649.85 247.85 654.93 224.52
679.12 252.61 684.40 253.47
566.25 353.62 538.40 353.77
566.25 353.62 551.10 355.74
529.60 358.74 523.73 359.56
566.25 353.62 550.12 350.64
531.54 347.21 523.23 345.68
113.22 168.76 112.29 192.71
736.52 109.51 742.32 86.70
112.29 192.71 254.98 192.60
112.29 192.71 235.92 192.86
112.29 192.71 158.10 193.12
456.43 109.23 463.37 86.09
295.37 171.00 304.90 169.84
295.37 171.00 295.42 158.53
778.13 238.97 757.02 238.68
778.13 238.97 757.02 238.76
124.96 251.99 130.22 228.72
742.89 86.43 758.19 93.34
767.19 97.41 773.05 100.05
771.72 46.09 778.04 45.73
789.72 45.06 800.91 44.42
771.72 46.09 776.04 27.90
132.15 32.59 272.17 32.58
132.15 32.59 270.40 32.79
153.98 353.83 123.97 353.74
153.98 353.83 136.98 350.59
117.56 346.88 110.27 345.49
153.98 353.83 137.85 356.02
116.36 358.94 110.49 359.73
123.97 353.74 110.27 345.49
123.97 353.74 109.38 359.54
800.91 44.42 800.54 40.06
33.36 307.67 17.22 312.42
33.36 307.67 17.81 300.78
33.36 307.67 112.78 306.66
669.54 371.71 669.88 367.37
669.95 366.41 670.40 360.62
669.54 371.71 661.17 370.47
709.61 171.91 709.65 158.37
709.61 171.91 701.14 171.65
696.17 171.50 671.77 170.74
17.20 244.08 26.63 242.94
38.54 241.49 62.84 238.53
17.20 244.08 17.50 238.05
17.20 244.08 33.22 239.12
538.21 247.49 542.95 224.74
220.46 342.86 215.51 365.95
456.83 239.28 475.75 239.19
456.83 239.28 456.91 192.90
319.02 32.58 502.07 32.61
319.02 32.58 501.10 29.44
272.17 33.28 132.15 35.40
575.50 253.49 574.49 234.84
575.50 253.49 572.60 245.70
571.58 242.95 569.87 238.36
566.46 229.19 564.58 224.14
303.32 167.96 298.90 162.68
298.27 161.92 295.42 158.53
17.22 312.42 17.49 307.08
215.51 365.95 219.88 366.54
249.96 370.59 257.24 371.57
244.77 227.22 238.42 251.16
270.24 255.19 280.57 256.35
62.84 238.53 41.79 235.48
26.13 233.22 17.81 232.02
62.84 238.53 33.22 239.12
635.47 342.84 630.16 365.87
165.26 239.01 166.94 258.96
140.98 167.79 129.71 144.83
140.98 167.79 134.26 157.56
318.89 32.76 502.07 32.65
318.89 32.09 501.10 29.44
270.40 32.79 132.15 29.87
270.40 32.79 132.15 35.27
684.20 35.87 548.66 32.65
684.20 35.87 548.66 31.11
637.07 184.51 625.33 183.21
620.44 182.67 608.69 181.37
619.20 184.15 611.78 183.78
769.05 112.30 767.71 116.39
683.99 28.90 548.66 32.58
683.99 28.90 549.16 29.30
592.83 179.17 609.53 154.99
592.30 178.11 588.51 155.61
538.40 353.77 533.47 355.60
532.57 355.93 522.71 359.60
799.44 26.99 792.13 27.28
785.30 27.54 776.04 27.90
145.95 144.08 134.26 157.56
522.30 359.30 523.23 345.68
110.27 345.49 108.27 358.61
691.62 238.12 684.40 253.47
90.78 29.00 89.17 36.04
129.71 144.83 134.26 157.56
436.42 192.87 254.98 192.60
254.98 192.60 158.10 193.12
235.92 192.86 158.10 193.12
435.00 307.00 777.00 307.00
324.00 32.00 496.00 32.00
129.00 193.00 433.00 193.00
295.00 170.00 456.00 170.00
526.00 284.00 708.00 284.00
457.00 237.00 457.00 171.00
112.00 206.00 112.00 127.00
434.00 306.00 434.00 194.00
709.00 205.00 709.00 128.00
204.00 306.00 263.00 307.00
70.00 307.00 126.00 307.00
205.00 32.00 261.00 32.00
364.00 307.00 364.00 239.00
138.00 32.00 183.00 32.00
