# x1 y1 x2 y2
222.58 268.01 137.46 268.96
222.58 268.01 225.56 282.15
222.58 268.01 221.58 319.30
669.23 75.31 669.27 134.37
126.76 399.76 126.75 369.42
668.69 210.19 671.85 228.30
677.99 263.53 678.93 268.92
668.69 210.19 669.15 253.94
668.69 210.19 668.69 278.93
669.27 400.03 668.46 369.29
112.51 335.09 110.03 329.14
45.81 141.45 38.42 173.86
45.81 141.45 44.91 155.39
602.28 172.79 551.87 172.91
602.28 172.79 529.19 172.59
130.39 285.63 126.76 294.18
130.50 225.19 126.67 201.09
137.46 268.96 126.45 254.10
137.46 268.96 126.62 278.40
54.33 176.77 73.13 180.22
38.42 173.86 44.91 155.39
48.03 345.10 53.16 312.95
91.95 349.84 110.20 351.81
48.03 345.10 52.51 344.95
126.55 76.78 126.72 127.97
445.11 121.03 448.34 101.76
448.51 100.79 449.32 95.97
449.48 95.01 450.53 88.75
668.42 293.43 672.12 284.80
668.42 293.43 669.15 253.94
668.42 293.43 668.69 278.93
126.76 294.18 126.45 254.10
126.76 294.18 126.62 278.40
795.59 270.21 816.13 237.67
794.45 270.03 786.96 237.70
726.02 55.15 719.43 21.96
726.39 55.22 747.98 21.94
386.34 172.92 330.08 172.94
423.13 172.90 551.87 172.91
423.13 172.90 529.19 172.59
126.67 201.09 126.45 254.10
53.87 311.52 59.75 311.53
78.35 311.57 82.75 311.58
751.37 64.48 758.45 38.31
751.37 64.48 758.75 64.10
777.44 63.13 795.65 62.19
751.37 64.48 758.85 64.17
438.33 253.42 437.23 234.83
427.16 251.07 422.30 250.05
417.44 249.03 412.59 248.01
678.93 268.92 751.31 268.93
678.93 268.92 671.06 256.86
678.93 268.92 711.96 271.50
757.32 275.05 766.69 275.78
678.93 268.92 668.69 278.93
450.53 88.75 471.56 89.72
238.92 182.56 233.21 148.98
239.26 182.63 260.61 148.98
719.43 21.96 726.82 21.96
743.55 21.94 747.98 21.94
758.45 38.31 770.70 38.28
783.45 38.24 794.72 38.21
758.45 38.31 774.39 40.89
782.12 42.15 788.88 43.24
794.68 44.18 802.89 45.51
574.41 50.26 585.34 50.23
624.09 50.13 635.02 50.10
601.74 332.73 236.36 333.35
601.74 332.73 192.81 332.78
601.74 332.73 239.35 330.09
233.35 330.04 211.35 329.88
205.36 329.84 192.36 329.74
742.63 169.12 740.85 196.41
730.24 156.39 726.56 152.60
742.63 169.12 740.68 180.77
330.08 172.94 385.81 172.96
330.08 172.94 314.50 163.08
330.08 172.94 316.69 183.47
233.21 148.98 238.59 148.98
256.21 148.98 260.61 148.98
816.13 237.67 810.78 237.68
793.28 237.69 786.96 237.70
437.23 234.83 433.38 232.54
411.15 219.27 394.90 209.58
437.23 234.83 422.91 237.04
417.97 237.80 412.04 238.72
406.11 239.63 387.34 242.52
437.23 234.83 432.35 232.56
689.94 186.49 693.27 166.66
693.43 165.69 694.25 160.85
694.57 158.92 695.39 154.08
689.94 186.49 695.36 186.21
551.87 172.91 529.19 172.59
551.87 172.91 423.13 172.95
544.51 150.93 540.91 140.17
551.87 172.91 540.89 159.15
751.31 268.93 766.69 275.78
751.31 268.93 764.08 257.23
690.27 351.39 696.51 318.10
732.99 357.05 751.64 359.52
690.27 351.39 694.68 351.34
574.41 40.97 584.34 40.94
625.09 40.78 635.02 40.74
126.45 254.10 126.62 278.40
529.19 172.59 423.13 172.87
538.38 147.12 540.88 140.17
529.19 172.59 540.89 159.15
385.81 172.96 322.72 173.19
312.78 173.23 306.82 173.25
864.02 271.31 865.52 285.19
865.83 288.07 866.60 295.25
828.35 276.48 817.61 278.04
635.52 49.63 635.52 41.21
818.97 295.23 829.77 295.24
839.59 295.24 849.41 295.24
850.40 295.24 855.31 295.24
861.20 295.25 866.60 295.25
818.97 295.22 829.81 295.00
839.66 294.79 849.52 294.58
818.44 294.76 817.16 278.59
866.60 295.25 861.25 294.96
740.85 196.41 738.57 189.42
735.53 180.10 734.01 175.44
729.45 161.46 726.56 152.60
740.85 196.41 740.68 180.77
540.90 140.17 540.89 159.15
73.13 180.22 71.83 158.73
73.13 180.22 57.35 181.79
236.36 333.35 232.49 329.67
231.78 329.00 221.58 319.30
236.36 333.35 192.81 332.78
236.36 333.35 191.86 331.87
722.07 152.61 726.56 152.60
267.30 191.97 267.68 172.13
267.72 170.19 267.81 165.84
505.17 130.50 503.58 112.21
795.65 62.19 795.44 56.91
794.96 44.44 794.72 38.21
795.65 62.19 780.29 63.28
795.65 62.19 802.89 45.51
506.99 49.72 496.50 49.72
171.51 49.74 160.51 49.74
506.99 49.72 172.53 41.49
170.54 41.44 160.57 41.20
506.99 49.72 507.00 40.80
110.03 329.14 110.20 351.81
