x1 y1 x2 y2 cls conf
321.65 484.25 369.57 544.54 2 0.9618
625.64 81.62 673.95 142.72 4 0.9562
226.30 326.61 273.60 387.32 2 0.9525
412.79 206.46 459.31 265.75 4 0.9463
412.95 82.32 459.79 142.96 4 0.9454
625.86 483.07 673.64 544.38 2 0.9449
266.26 82.54 313.25 141.82 4 0.9446
80.20 161.79 128.78 223.52 2 0.9428
451.55 327.31 498.48 388.00 2 0.9425
226.53 206.91 274.48 266.70 4 0.9380
80.53 68.76 128.38 129.23 4 0.9367
696.49 346.91 748.75 375.10 9 0.9360
80.64 483.59 128.59 544.46 2 0.9323
544.75 273.02 572.68 323.21 9 0.9297
701.61 422.03 743.43 446.33 0 0.9175
441.04 47.05 469.23 59.03 1 0.7545
255.01 47.15 285.09 58.42 1 0.7337
