x1 y1 x2 y2 cls conf
2249.23 900.59 2373.99 1024.15 14 0.9472
573.52 902.44 696.04 1023.91 14 0.9452
2079.42 1124.07 2155.73 1251.86 6 0.9245
1115.97 517.38 1187.26 643.56 6 0.9218
782.34 1123.24 860.56 1251.69 6 0.9215
1308.12 1123.86 1383.57 1252.18 6 0.9207
1556.48 514.66 1631.74 643.56 6 0.9204
2247.66 1122.20 2320.88 1252.18 6 0.9202
1887.99 516.97 1960.21 644.27 6 0.9191
1309.24 516.66 1383.71 645.17 6 0.9188
616.32 1123.35 695.54 1251.87 6 0.9185
1554.48 1123.06 1632.22 1252.29 6 0.9184
781.52 514.13 859.43 644.39 6 0.9167
1728.46 793.96 1793.78 916.54 8 0.9164
1920.38 793.56 1985.48 915.75 8 0.9163
2058.38 793.53 2124.49 917.99 8 0.9146
955.63 793.27 1020.57 916.25 8 0.9142
1286.82 794.36 1351.30 916.98 8 0.9122
1147.94 793.70 1213.45 914.80 8 0.9094
1286.39 1291.37 1350.59 1331.46 0 0.9066
2058.06 1291.21 2123.56 1332.49 0 0.9055
2080.50 516.41 2156.85 645.50 6 0.9044
2277.46 1291.70 2346.40 1332.55 0 0.9032
978.46 517.03 1054.35 643.66 6 0.9027
1751.19 517.65 1825.87 643.64 6 0.9006
816.01 791.19 882.27 915.21 8 0.8974
1589.60 790.91 1653.37 914.95 8 0.8942
1114.20 1183.01 1242.91 1247.49 9 0.8886
1886.22 1183.00 2014.66 1246.84 9 0.8879
1589.29 1290.68 1655.63 1333.32 0 0.8793
1691.93 1181.04 1823.22 1246.29 9 0.8757
920.76 1180.55 1052.02 1246.45 9 0.8734
593.66 1290.42 663.36 1334.11 0 0.8672
816.16 1290.53 883.57 1333.61 0 0.8647
1215.78 149.90 1274.69 200.79 0 0.5057
