x1 y1 x2 y2 cls conf
674.05 224.71 738.22 294.21 4 0.9730
366.58 495.94 436.62 568.67 2 0.9703
518.45 617.93 589.54 691.19 2 0.9686
671.73 373.88 742.42 446.71 2 0.9658
674.12 102.56 738.17 172.04 4 0.9657
369.13 224.68 431.47 293.59 4 0.9653
365.61 373.86 435.67 445.62 2 0.9641
732.10 498.09 796.16 567.23 2 0.9637
369.12 102.48 432.02 171.53 4 0.9611
208.14 100.08 279.70 173.97 4 0.9581
702.35 40.26 767.30 74.84 1 0.9580
151.99 620.70 215.59 689.28 2 0.9578
135.29 722.02 173.14 760.84 0 0.9523
562.10 721.93 600.05 760.61 0 0.9521
182.88 39.97 249.10 75.00 1 0.9384
396.57 39.86 461.47 74.73 1 0.9088
