x1 y1 x2 y2 cls conf
98.58 115.70 136.23 171.00 8 0.9107
528.84 210.61 585.10 275.17 2 0.9081
108.09 409.15 167.13 476.52 2 0.9029
341.94 206.92 399.23 273.55 2 0.9027
411.43 406.50 467.87 473.63 2 0.9015
730.27 406.82 786.12 472.81 2 0.9007
914.66 208.45 972.95 274.44 2 0.9000
612.82 287.17 654.65 308.01 0 0.8943
916.31 406.53 973.02 472.47 2 0.8911
10.24 401.96 50.68 423.88 0 0.8796
727.16 88.02 787.93 154.45 4 0.8765
388.07 89.69 446.27 156.17 4 0.8635
1047.98 465.27 1087.63 487.95 0 0.8620
483.02 90.05 539.34 155.19 4 0.8549
769.19 39.44 793.98 66.88 1 0.7937
103.89 42.15 131.50 64.52 1 0.7271
954.75 40.15 980.49 65.33 1 0.7216
382.67 40.63 408.52 64.98 1 0.6523
523.40 39.55 547.44 65.27 1 0.6363
