x1 y1 x2 y2 cls conf
601.01 402.43 633.95 435.49 0 0.9303
690.33 82.24 728.35 124.21 8 0.9285
276.85 82.36 315.17 123.97 8 0.9274
93.66 81.71 132.27 123.60 8 0.9272
506.87 82.30 545.07 123.93 8 0.9270
478.11 210.15 530.98 266.21 2 0.9262
156.81 325.30 209.21 381.17 2 0.9216
187.98 402.39 221.02 435.38 0 0.9202
569.43 325.95 621.87 381.51 2 0.9196
64.62 210.30 116.58 266.06 2 0.9192
291.62 211.56 343.94 266.52 2 0.9167
705.12 210.71 757.02 267.39 2 0.9097
272.67 28.82 318.89 55.36 1 0.9054
502.57 28.56 548.66 54.96 1 0.9016
686.00 28.86 731.92 54.69 1 0.8886
93.09 28.72 132.15 52.32 1 0.8350
