# x1 y1 x2 y2 conf text
322 10 418 46 0.5128 +15 V
124 64 176 96 0.9963 M9
326 62 390 96 0.5574 10/1
482 88 560 124 0.9279 100/1
76 106 110 136 0.7817 1/
192 106 238 140 0.9986 M
390 104 430 138 0.9682 14
564 134 608 168 0.5352 16
630 158 688 190 0.9859 Vout
433 209 565 251 0.9744 Cc = 5 pF
236 228 290 262 0.4043 MI
352 228 398 264 0.9995 M
6 262 48 294 0.9910 Vin
172 270 240 304 0.5541 10/15
366 270 456 306 0.3693 U1O/1
625 281 711 323 0.9996 20 pF
259 321 299 363 0.9322 Is]
316 362 370 398 0.4641 M5
70 376 116 412 0.9878 M'
564 378 610 412 0.7590 M7
314 412 366 446 0.9984 2/1
468 408 530 444 0.9964 10/1
324 456 420 490 0.4230 -15V
