# x1 y1 x2 y2 conf text
331 11 475 53 0.6022 VDD = 5 V
142 60 212 96 0.6925 MIO
678 98 732 132 0.6012 M8
286 140 340 174 0.6425 M5
406 140 462 174 0.7715 M6l
8 178 88 212 0.9948 60/1C
130 200 196 232 0.5451 MII
216 264 268 300 0.9977 M3
396 262 452 294 0.9981 M4
774 280 830 314 0.9996 Vout
111 295 195 335 0.9928 IBIAS
175 345 217 369 0.9921 0
272 342 322 376 0.5722 MI
418 342 460 376 0.9974 M
747 341 793 383 0.9929 CL
6 500 88 534 0.6684 60/10
670 492 718 526 0.5866 V9
400 516 452 550 0.8830 M7
80 540 164 576 0.3089 IM12
276 542 360 578 0.6420 30410
325 579 473 616 0.6420 Vss = -5 V
151 377 202 416 0.9989 Vin
