# x1 y1 x2 y2 conf text
371 5 445 47 0.9986 VddA
566 86 608 116 0.6467 V2
466 98 506 126 0.8588 Mg}
674 98 716 128 0.9984 Mg4
568 284 608 314 0.9245 Vb3
12 306 62 336 0.9996 Vicm
146 304 190 334 0.9423 Vint
358 306 402 336 0.7055 Vin -
466 302 510 332 0.5316 Mgj
668 302 710 332 0.8798 Mgb
102 326 148 356 0.4012 Mgo
232 330 276 360 0.9996 Mgl
282 330 326 360 0.8384 Mg2
436 374 488 406 0.9120 Vout-
694 374 746 406 0.5484 Vout+
568 464 606 492 0.9007 Vb4
178 488 216 518 0.9827 Vbl
260 484 302 514 1.0000 Mgt
464 480 506 510 0.3339 Mg7
670 480 714 512 0.9863 Mg8
367 515 445 557 0.9941 GndA
