# x1 y1 x2 y2 conf text
1112 51 1217 111 0.4881 lout"
1725 48 1836 112 0.8999 lout
895 108 1102 169 0.9971 Mixer B
1867 108 2068 169 0.9957 Mixer A
857 577 903 613 0.9233 1b
1183 577 1233 613 0.9991 3b
1627 576 1675 616 0.7714 1a
754 805 823 863 0.9986 RB
891 805 957 863 0.9994 RB
1084 805 1153 863 0.9530 RB
1221 805 1287 863 0.9996 RB
1527 805 1591 863 0.9989 RA
1664 805 1728 863 0.9996 RA
1855 805 1921 863 0.9986 RA
1996 805 2062 863 0.9992 RA
2198 844 2290 909 0.9428 IA/2
1483 977 1577 1042 0.9637 VLo
903 1121 976 1181 0.9826 Cc
1094 1121 1169 1181 0.9124 Cc
1674 1121 1748 1181 0.5388 Cc
1860 1120 1943 1186 0.9987 Cc
855 1183 903 1219 0.9776 6b
1627 1182 1675 1222 0.9377 7a
2315 1182 2363 1222 0.9855 5a
968 1372 1018 1406 0.9988 RF
1164 1369 1216 1409 0.9996 RF
1743 1369 1798 1409 0.9995 RF
1941 1369 1993 1409 0.9996 RF
68 1449 146 1503 0.6698 Fig:
154 1453 191 1493 0.9999 6.
212 1448 928 1497 0.7701 Feedforward-linearized mixer schematic.
1939 556 2026 629 0.8827 13a
576 730 684 808 0.9955 Vcc
2258 729 2366 807 0.8709 Vcc
523 849 606 919 0.3813 'B/2
1337 971 1445 1051 0.4475 VLo
