# x1 y1 x2 y2 conf text
813 0 859 17 0.3530 (0 )
418 22 492 74 0.9889 Vo+
692 22 746 74 0.9960 Vo
269 66 325 241 0.3630 [
747 165 813 209 0.8305 Roj
832 66 887 241 0.3820 [
351 285 413 329 0.2665 Lp3
839 239 885 313 0.4380 8
275 309 317 383 0.6728 2
839 309 879 383 0.9927 2
105 329 207 571 0.9691 h
238 506 300 542 0.9611 ctrl
447 471 497 515 0.6490 M,
668 480 706 516 0.9979 M
849 489 907 535 0.9560 oV
967 315 1071 556 0.9579 h
972 512 1018 645 0.4030 J
266 230 327 318 0.9640 8
242 415 361 494 0.2719 Cvar2
810 416 929 493 0.8898 Cvar2
891 504 955 545 0.7649 ctrl
236 545 352 622 0.5848 Gvar1
815 545 932 623 0.7688 Cvar1
